transaction_id,timestamp,user_id,account_type,category,amount,currency,payment_method,device_type,risk_score,is_fraud
TXN_100032,2025-08-27 14:19:13.821309,USR_6918,Checking,Travel,300.6,USD,Credit Card,Desktop,12.02,0
TXN_100033,2025-08-27 15:08:13.821309,USR_2935,Checking,Entertainment,93.05,USD,Debit Card,Desktop,10.54,0
TXN_100034,2025-08-27 15:33:13.821309,USR_4684,Credit Card,Electronics,27.49,USD,Credit Card,Desktop,51.02,0
TXN_100035,2025-08-27 15:44:13.821309,USR_4766,Credit Card,Groceries,55.42,USD,Debit Card,ATM,37.42,0
TXN_100036,2025-08-27 15:46:13.821309,USR_5163,Credit Card,Dining,8.59,USD,Debit Card,ATM,23.79,0
TXN_100037,2025-08-27 17:23:13.821309,USR_1676,Savings,Online Transfer,91.87,USD,Credit Card,POS Terminal,23.28,0
TXN_100038,2025-08-27 17:26:13.821309,USR_1769,Credit Card,Entertainment,3.74,USD,Debit Card,POS Terminal,9.72,0
TXN_100039,2025-08-27 19:46:13.821309,USR_1559,Checking,Dining,88.03,USD,Debit Card,Mobile,38.32,0
TXN_100040,2025-08-27 20:14:13.821309,USR_4651,Savings,Groceries,12.26,USD,Credit Card,Mobile,20.45,0
TXN_100041,2025-08-27 21:24:13.821309,USR_6651,Checking,Utilities,4.4,USD,Credit Card,Mobile,43.06,0
TXN_100042,2025-08-27 22:59:13.821309,USR_1296,Savings,Entertainment,3.0,USD,Debit Card,Mobile,9.79,0
TXN_100043,2025-08-28 00:06:13.821309,USR_9728,Savings,Utilities,16.06,USD,Debit Card,Mobile,14.93,0
TXN_100044,2025-08-28 00:18:13.821309,USR_2513,Checking,Dining,59.28,USD,Credit Card,POS Terminal,29.45,0
TXN_100045,2025-08-28 01:53:13.821309,USR_8324,Checking,Groceries,5.88,USD,Credit Card,Mobile,7.22,0
TXN_100046,2025-08-28 05:50:13.821309,USR_8425,Savings,Online Transfer,6.96,USD,Credit Card,Desktop,26.93,0
TXN_100047,2025-08-28 05:52:13.821309,USR_7347,Checking,Electronics,15.74,USD,Credit Card,Mobile,10.98,0
TXN_100048,2025-08-28 06:02:13.821309,USR_2369,Credit Card,Groceries,65.91,USD,Debit Card,Desktop,19.63,0
TXN_100049,2025-08-28 06:22:13.821309,USR_1078,Checking,Entertainment,75.62,USD,Credit Card,POS Terminal,38.16,0
TXN_100050,2025-08-28 07:33:13.821309,USR_9102,Savings,Online Transfer,31.62,USD,Debit Card,Mobile,10.14,1
TXN_100051,2025-08-28 07:36:13.821309,USR_7445,Savings,Utilities,79.97,USD,Credit Card,ATM,17.54,0
TXN_100052,2025-08-28 08:28:13.821309,USR_3928,Savings,Travel,57.76,USD,Debit Card,Mobile,33.12,0
TXN_100053,2025-08-28 10:38:13.821309,USR_5250,Credit Card,Electronics,17.14,USD,UPI,ATM,30.41,0
TXN_100054,2025-08-28 10:47:13.821309,USR_8026,Checking,Groceries,73.73,USD,Debit Card,Mobile,8.23,0
TXN_100055,2025-08-28 11:16:13.821309,USR_1791,Checking,Groceries,6.6,USD,Credit Card,Mobile,9.5,0
TXN_100056,2025-08-28 11:25:13.821309,USR_9050,Checking,Travel,46.3,USD,Credit Card,ATM,13.42,0
TXN_100057,2025-08-28 11:41:13.821309,USR_5231,Credit Card,Groceries,7.52,USD,Credit Card,Desktop,42.81,0
TXN_100058,2025-08-28 12:41:13.821309,USR_2787,Checking,Healthcare,31.72,USD,Debit Card,Desktop,17.72,0
TXN_100059,2025-08-28 12:58:13.821309,USR_3037,Checking,Groceries,103.59,USD,Credit Card,Desktop,33.49,0
TXN_100060,2025-08-28 13:03:13.821309,USR_2840,Savings,Dining,34.28,USD,Credit Card,Mobile,21.12,0
TXN_100061,2025-08-28 13:19:13.821309,USR_2683,Savings,Dining,26.74,USD,UPI,Mobile,15.49,0
TXN_100062,2025-08-28 14:14:13.821309,USR_5349,Credit Card,Travel,34.77,USD,Credit Card,Mobile,45.82,0
TXN_100063,2025-08-28 14:32:13.821309,USR_8430,Credit Card,Electronics,56.24,USD,Bank Transfer,Mobile,29.32,0
TXN_100064,2025-08-28 15:04:13.821309,USR_1947,Credit Card,Healthcare,283.55,USD,UPI,ATM,28.48,0
TXN_100065,2025-08-28 15:45:13.821309,USR_9462,Credit Card,Dining,55.57,USD,UPI,POS Terminal,36.16,0
TXN_100066,2025-08-28 16:47:13.821309,USR_5292,Checking,Utilities,15.6,USD,UPI,Mobile,19.11,0
TXN_100067,2025-08-28 17:02:13.821309,USR_5860,Checking,Utilities,21.55,USD,Credit Card,POS Terminal,14.38,0
TXN_100068,2025-08-28 20:13:13.821309,USR_9794,Checking,Groceries,10.06,USD,Credit Card,Mobile,35.33,0
TXN_100069,2025-08-28 20:18:13.821309,USR_5878,Checking,Travel,6.94,USD,Credit Card,Mobile,31.99,0
TXN_100070,2025-08-28 21:06:13.821309,USR_2269,Savings,Travel,1.87,USD,Credit Card,Desktop,19.29,0
TXN_100071,2025-08-28 21:08:13.821309,USR_7050,Savings,Healthcare,16.32,USD,Credit Card,Mobile,17.01,0
TXN_100072,2025-08-28 21:23:13.821309,USR_5304,Credit Card,Healthcare,5.78,USD,UPI,Mobile,2.28,0
TXN_100073,2025-08-28 21:56:13.821309,USR_7373,Savings,Groceries,30.17,USD,Credit Card,Desktop,24.5,0
TXN_100074,2025-08-28 22:10:13.821309,USR_1842,Credit Card,Groceries,15.48,USD,Credit Card,ATM,26.63,0
TXN_100075,2025-08-28 22:21:13.821309,USR_3589,Savings,Electronics,8.21,USD,Debit Card,Desktop,14.94,0
TXN_100076,2025-08-28 22:38:13.821309,USR_6761,Savings,Online Transfer,2.68,USD,Credit Card,Mobile,37.64,0
TXN_100077,2025-08-28 23:56:13.821309,USR_2617,Savings,Groceries,18.46,USD,Debit Card,Mobile,27.19,0
TXN_100078,2025-08-29 01:56:13.821309,USR_6422,Savings,Utilities,3.94,USD,Credit Card,Desktop,22.79,0
TXN_100079,2025-08-29 02:27:13.821309,USR_3928,Savings,Travel,58.96,USD,UPI,Desktop,30.56,0
TXN_100080,2025-08-29 02:38:13.821309,USR_5721,Savings,Utilities,35.89,USD,Debit Card,POS Terminal,13.85,0
TXN_100081,2025-08-29 02:41:13.821309,USR_9998,Checking,Groceries,21.13,USD,Debit Card,ATM,24.38,0
TXN_100082,2025-08-29 03:22:13.821309,USR_8851,Savings,Groceries,133.73,USD,Credit Card,POS Terminal,18.93,0
TXN_100083,2025-08-29 03:57:13.821309,USR_7437,Savings,Dining,27.41,USD,Bank Transfer,Desktop,16.25,0
TXN_100084,2025-08-29 04:43:13.821309,USR_8229,Savings,Groceries,41.46,USD,Credit Card,Mobile,46.74,0
TXN_100085,2025-08-29 04:45:13.821309,USR_2507,Checking,Groceries,57.76,USD,UPI,Desktop,46.34,0
TXN_100086,2025-08-29 06:50:13.821309,USR_6489,Checking,Groceries,15.35,USD,Bank Transfer,Desktop,21.9,0
TXN_100087,2025-08-29 07:58:13.821309,USR_9612,Checking,Travel,15.45,USD,Debit Card,Mobile,36.6,0
TXN_100088,2025-08-29 08:36:13.821309,USR_6648,Savings,Dining,28.38,USD,Debit Card,Mobile,53.27,0
TXN_100089,2025-08-29 10:54:13.821309,USR_3076,Savings,Electronics,6.16,USD,Credit Card,Mobile,27.6,0
TXN_100090,2025-08-29 12:03:13.821309,USR_2757,Checking,Electronics,193.22,USD,Debit Card,POS Terminal,32.42,0
TXN_100091,2025-08-29 13:13:13.821309,USR_6931,Checking,Groceries,32.36,USD,UPI,Mobile,37.49,0
TXN_100092,2025-08-29 13:44:13.821309,USR_4139,Savings,Dining,21.74,USD,Credit Card,POS Terminal,22.41,0
TXN_100093,2025-08-29 14:01:13.821309,USR_6316,Checking,Groceries,268.83,USD,Bank Transfer,Mobile,20.08,0
TXN_100094,2025-08-29 14:02:13.821309,USR_1578,Savings,Utilities,8.07,USD,Debit Card,Desktop,2.64,1
TXN_100095,2025-08-29 15:38:13.821309,USR_6238,Savings,Groceries,146.9,USD,Debit Card,Mobile,34.94,0
TXN_100096,2025-08-29 15:56:13.821309,USR_5297,Checking,Online Transfer,66.33,USD,Debit Card,Desktop,58.3,0
TXN_100097,2025-08-29 17:16:13.821309,USR_7414,Checking,Groceries,92.64,USD,Credit Card,Mobile,33.72,0
TXN_100098,2025-08-29 17:49:13.821309,USR_5988,Savings,Online Transfer,22.35,USD,Credit Card,Mobile,16.56,0
TXN_100099,2025-08-29 19:01:13.821309,USR_5238,Savings,Entertainment,28.83,USD,Credit Card,Mobile,8.51,0
TXN_100100,2025-08-29 19:11:13.821309,USR_7553,Credit Card,Utilities,18.59,USD,Debit Card,Mobile,30.97,0
TXN_100101,2025-08-29 19:46:13.821309,USR_8796,Checking,Online Transfer,81.12,USD,Bank Transfer,POS Terminal,34.23,0
TXN_100102,2025-08-29 22:36:13.821309,USR_5294,Credit Card,Groceries,41.72,USD,Debit Card,Desktop,33.01,0
TXN_100103,2025-08-29 23:54:13.821309,USR_1449,Checking,Groceries,14.67,USD,Debit Card,Mobile,4.7,0
TXN_100104,2025-08-30 02:22:13.821309,USR_5142,Checking,Electronics,15.43,USD,Credit Card,Mobile,4.42,0
TXN_100105,2025-08-30 03:13:13.821309,USR_6409,Savings,Groceries,26.67,USD,UPI,POS Terminal,2.76,0
TXN_100106,2025-08-30 03:47:13.821309,USR_1388,Savings,Electronics,18.81,USD,Debit Card,Desktop,9.22,0
TXN_100107,2025-08-30 04:36:13.821309,USR_4902,Checking,Travel,132.42,USD,Debit Card,Mobile,35.27,0
TXN_100108,2025-08-30 04:44:13.821309,USR_2310,Checking,Groceries,65.96,USD,Bank Transfer,Mobile,25.1,0
TXN_100109,2025-08-30 04:53:13.821309,USR_6309,Savings,Dining,65.81,USD,UPI,Desktop,15.69,0
TXN_100110,2025-08-30 05:43:13.821309,USR_7240,Checking,Groceries,35.07,USD,Debit Card,Mobile,34.69,0
TXN_100111,2025-08-30 06:15:13.821309,USR_8694,Savings,Travel,10.92,USD,Bank Transfer,Desktop,28.03,0
TXN_100112,2025-08-30 06:42:13.821309,USR_5071,Savings,Online Transfer,58.31,USD,Debit Card,Desktop,27.84,0
TXN_100113,2025-08-30 07:17:13.821309,USR_2148,Savings,Dining,2.7,USD,UPI,Mobile,3.94,0
TXN_100114,2025-08-30 07:37:13.821309,USR_9614,Checking,Dining,32.83,USD,Debit Card,Desktop,21.75,0
TXN_100115,2025-08-30 08:56:13.821309,USR_7189,Savings,Dining,11.1,USD,Credit Card,POS Terminal,66.36,0
TXN_100116,2025-08-30 10:08:13.821309,USR_7066,Savings,Entertainment,10.2,USD,Bank Transfer,Mobile,33.94,0
TXN_100117,2025-08-30 10:21:13.821309,USR_2976,Checking,Groceries,16.29,USD,Credit Card,Mobile,53.88,0
TXN_100118,2025-08-30 14:21:13.821309,USR_5051,Checking,Online Transfer,24.72,USD,Credit Card,Desktop,66.83,0
TXN_100119,2025-08-30 14:30:13.821309,USR_6903,Checking,Dining,26.42,USD,Credit Card,Mobile,35.04,0
TXN_100120,2025-08-30 16:24:13.821309,USR_3802,Savings,Electronics,64.67,USD,Credit Card,POS Terminal,50.08,0
TXN_100121,2025-08-30 19:31:13.821309,USR_3822,Checking,Online Transfer,22.39,USD,Credit Card,ATM,18.52,0
TXN_100122,2025-08-30 19:42:13.821309,USR_4597,Checking,Online Transfer,24.24,USD,Debit Card,ATM,13.52,0
TXN_100123,2025-08-30 20:37:13.821309,USR_4260,Savings,Utilities,5.84,USD,Bank Transfer,Mobile,51.77,0
TXN_100124,2025-08-30 21:00:13.821309,USR_3691,Checking,Groceries,6.74,USD,Credit Card,Desktop,17.55,0
TXN_100125,2025-08-30 21:17:13.821309,USR_7818,Checking,Utilities,37.18,USD,UPI,POS Terminal,20.45,0
TXN_100126,2025-08-30 21:58:13.821309,USR_8899,Savings,Electronics,54.26,USD,Credit Card,Mobile,27.1,0
TXN_100127,2025-08-31 00:31:13.821309,USR_6906,Credit Card,Dining,20.36,USD,Credit Card,Mobile,12.78,0
TXN_100128,2025-08-31 03:36:13.821309,USR_6310,Checking,Groceries,75.66,USD,Debit Card,Mobile,30.94,0
TXN_100129,2025-08-31 03:55:13.821309,USR_6969,Credit Card,Dining,5.76,USD,UPI,POS Terminal,30.7,0
TXN_100130,2025-08-31 04:59:13.821309,USR_5908,Checking,Utilities,42.03,USD,Credit Card,Mobile,21.72,0
TXN_100131,2025-08-31 05:10:13.821309,USR_5941,Savings,Electronics,10.62,USD,Credit Card,Mobile,26.16,0
TXN_100132,2025-08-31 05:53:13.821309,USR_2217,Savings,Online Transfer,9.74,USD,Credit Card,Desktop,13.48,0
TXN_100133,2025-08-31 06:06:13.821309,USR_6990,Checking,Groceries,11.69,USD,Bank Transfer,Desktop,23.27,0
TXN_100134,2025-08-31 07:23:13.821309,USR_8141,Credit Card,Groceries,24.81,USD,Credit Card,Mobile,31.18,0
TXN_100135,2025-08-31 08:20:13.821309,USR_1648,Checking,Utilities,43.94,USD,Debit Card,Desktop,59.88,0
TXN_100136,2025-08-31 08:22:13.821309,USR_2916,Credit Card,Entertainment,40.42,USD,UPI,Desktop,40.49,0
TXN_100137,2025-08-31 08:40:13.821309,USR_8973,Savings,Online Transfer,19.7,USD,Debit Card,Desktop,21.62,0
TXN_100138,2025-08-31 08:52:13.821309,USR_2620,Checking,Entertainment,54.35,USD,Bank Transfer,Desktop,8.52,0
TXN_100139,2025-08-31 11:06:13.821309,USR_5288,Credit Card,Groceries,173.37,USD,Bank Transfer,Mobile,24.59,0
TXN_100140,2025-08-31 11:22:13.821309,USR_8081,Checking,Online Transfer,23.78,USD,Debit Card,ATM,47.56,0
TXN_100141,2025-08-31 12:08:13.821309,USR_2368,Credit Card,Online Transfer,30.09,USD,Debit Card,Mobile,35.51,0
TXN_100142,2025-08-31 12:32:13.821309,USR_4767,Checking,Groceries,13.83,USD,Credit Card,Mobile,45.35,0
TXN_100143,2025-08-31 13:18:13.821309,USR_9631,Checking,Travel,17.62,USD,Bank Transfer,Desktop,38.57,0
TXN_100144,2025-08-31 15:24:13.821309,USR_7627,Checking,Travel,107.04,USD,Credit Card,POS Terminal,16.16,1
TXN_100145,2025-08-31 19:14:13.821309,USR_3788,Credit Card,Dining,108.26,USD,UPI,Desktop,12.66,0
TXN_100146,2025-08-31 19:31:13.821309,USR_9237,Checking,Online Transfer,21.73,USD,Credit Card,Mobile,12.57,0
TXN_100147,2025-08-31 19:33:13.821309,USR_9199,Savings,Groceries,46.49,USD,Credit Card,Mobile,35.95,0
TXN_100148,2025-08-31 19:55:13.821309,USR_5231,Checking,Travel,74.63,USD,Credit Card,Mobile,21.34,0
TXN_100149,2025-08-31 20:34:13.821309,USR_7541,Checking,Groceries,16.59,USD,Debit Card,Mobile,47.52,0
TXN_100150,2025-08-31 21:31:13.821309,USR_3355,Savings,Dining,6.45,USD,Credit Card,Desktop,32.64,0
TXN_100151,2025-08-31 21:43:13.821309,USR_2876,Checking,Entertainment,57.87,USD,Credit Card,POS Terminal,27.94,0
TXN_100152,2025-08-31 22:25:13.821309,USR_1398,Savings,Groceries,72.68,USD,Credit Card,Desktop,31.26,0
TXN_100153,2025-08-31 23:42:13.821309,USR_8234,Checking,Dining,61.82,USD,Credit Card,Mobile,11.31,0
TXN_100154,2025-09-01 02:15:13.821309,USR_4459,Checking,Online Transfer,17.97,USD,Debit Card,Mobile,10.45,0
TXN_100155,2025-09-01 02:21:13.821309,USR_7012,Checking,Entertainment,144.81,USD,Debit Card,Desktop,64.34,0
TXN_100156,2025-09-01 02:35:13.821309,USR_2485,Checking,Travel,37.07,USD,Credit Card,Desktop,17.89,0
TXN_100157,2025-09-01 05:39:13.821309,USR_3246,Savings,Groceries,7.67,USD,Debit Card,POS Terminal,27.8,0
TXN_100158,2025-09-01 07:32:13.821309,USR_2057,Credit Card,Dining,4.68,USD,UPI,ATM,71.31,0
TXN_100159,2025-09-01 10:25:13.821309,USR_4560,Savings,Entertainment,19.55,USD,Debit Card,POS Terminal,35.31,0
TXN_100160,2025-09-01 11:55:13.821309,USR_9998,Savings,Entertainment,34.72,USD,Bank Transfer,Mobile,17.64,0
TXN_100161,2025-09-01 15:05:13.821309,USR_3504,Credit Card,Groceries,19.75,USD,Credit Card,Desktop,37.88,0
TXN_100162,2025-09-01 18:51:13.821309,USR_5543,Checking,Utilities,242.97,USD,UPI,Mobile,39.78,0
TXN_100163,2025-09-01 18:51:13.821309,USR_9495,Savings,Groceries,42.28,USD,Debit Card,Mobile,19.49,0
TXN_100164,2025-09-01 19:24:13.821309,USR_6448,Credit Card,Groceries,9.3,USD,Debit Card,Mobile,54.27,0
TXN_100165,2025-09-01 20:14:13.821309,USR_5614,Checking,Dining,2.23,USD,Debit Card,Mobile,22.98,0
TXN_100166,2025-09-01 20:26:13.821309,USR_7752,Credit Card,Groceries,35.11,USD,Credit Card,Mobile,10.03,0
TXN_100167,2025-09-01 20:31:13.821309,USR_6279,Checking,Groceries,80.47,USD,Credit Card,POS Terminal,25.28,0
TXN_100168,2025-09-01 20:49:13.821309,USR_5857,Checking,Utilities,210.64,USD,Debit Card,Mobile,7.57,0
TXN_100169,2025-09-01 21:02:13.821309,USR_4644,Checking,Dining,21.7,USD,Credit Card,POS Terminal,46.56,0
TXN_100170,2025-09-01 21:37:13.821309,USR_2404,Savings,Entertainment,180.22,USD,Debit Card,ATM,51.27,0
TXN_100171,2025-09-01 21:39:13.821309,USR_5682,Checking,Utilities,6.08,USD,UPI,ATM,7.49,0
TXN_100172,2025-09-01 21:58:13.821309,USR_3234,Checking,Utilities,18.57,USD,Debit Card,ATM,35.37,0
TXN_100173,2025-09-01 22:10:13.821309,USR_1445,Savings,Electronics,8.88,USD,Credit Card,Desktop,26.79,0
TXN_100174,2025-09-01 22:47:13.821309,USR_2130,Savings,Electronics,64.8,USD,Credit Card,Mobile,14.63,0
TXN_100175,2025-09-01 23:30:13.821309,USR_1848,Savings,Travel,6.48,USD,Credit Card,Desktop,57.78,0
TXN_100176,2025-09-02 00:24:13.821309,USR_7618,Credit Card,Groceries,42.18,USD,Credit Card,POS Terminal,9.36,0
TXN_100177,2025-09-02 01:22:13.821309,USR_9291,Checking,Entertainment,6.92,USD,Credit Card,POS Terminal,10.25,0
TXN_100178,2025-09-02 01:53:13.821309,USR_3890,Checking,Dining,187.46,USD,Credit Card,ATM,16.01,0
TXN_100179,2025-09-02 02:26:13.821309,USR_2617,Credit Card,Groceries,17.96,USD,Credit Card,Desktop,18.85,0
TXN_100180,2025-09-02 03:02:13.821309,USR_9421,Checking,Travel,41.09,USD,Credit Card,Mobile,19.54,0
TXN_100181,2025-09-02 04:32:13.821309,USR_8365,Credit Card,Online Transfer,3.79,USD,Bank Transfer,ATM,52.86,0
TXN_100182,2025-09-02 05:08:13.821309,USR_6735,Savings,Groceries,5.24,USD,Bank Transfer,ATM,48.66,0
TXN_100183,2025-09-02 05:14:13.821309,USR_7243,Savings,Groceries,11.58,USD,Credit Card,Mobile,28.42,0
TXN_100184,2025-09-02 07:35:13.821309,USR_2315,Checking,Entertainment,69.1,USD,Credit Card,Desktop,26.65,0
TXN_100185,2025-09-02 09:51:13.821309,USR_8181,Checking,Groceries,55.98,USD,Debit Card,POS Terminal,14.16,0
TXN_100186,2025-09-02 09:54:13.821309,USR_8810,Credit Card,Groceries,89.47,USD,Credit Card,Mobile,5.99,0
TXN_100187,2025-09-02 09:54:13.821309,USR_8141,Checking,Electronics,5.15,USD,Debit Card,POS Terminal,63.6,0
TXN_100188,2025-09-02 10:23:13.821309,USR_1721,Savings,Dining,47.35,USD,Debit Card,Mobile,14.22,0
TXN_100189,2025-09-02 12:27:13.821309,USR_3977,Checking,Travel,14.65,USD,Credit Card,Mobile,34.91,0
TXN_100190,2025-09-02 15:01:13.821309,USR_3291,Checking,Dining,11.15,USD,UPI,Mobile,24.84,0
TXN_100191,2025-09-02 15:34:13.821309,USR_3258,Savings,Online Transfer,15.01,USD,UPI,Desktop,13.72,0
TXN_100192,2025-09-02 15:51:13.821309,USR_2523,Checking,Entertainment,23.85,USD,Bank Transfer,Mobile,19.15,0
TXN_100193,2025-09-02 15:54:13.821309,USR_2734,Credit Card,Online Transfer,56.1,USD,Credit Card,Mobile,13.49,0
TXN_100194,2025-09-02 16:16:13.821309,USR_5288,Checking,Dining,93.23,USD,UPI,ATM,43.8,0
TXN_100195,2025-09-02 17:05:13.821309,USR_6765,Checking,Groceries,48.1,USD,Debit Card,Mobile,45.84,0
TXN_100196,2025-09-02 17:18:13.821309,USR_7318,Savings,Online Transfer,54.41,USD,Debit Card,Mobile,66.14,0
TXN_100197,2025-09-02 18:06:13.821309,USR_2494,Savings,Groceries,201.41,USD,UPI,Desktop,31.96,0
TXN_100198,2025-09-02 18:44:13.821309,USR_1171,Checking,Entertainment,58.37,USD,Bank Transfer,Mobile,15.48,0
TXN_100199,2025-09-02 18:56:13.821309,USR_6467,Checking,Groceries,21.43,USD,UPI,POS Terminal,69.7,0
TXN_100200,2025-09-02 19:32:13.821309,USR_3807,Savings,Entertainment,51.38,USD,Credit Card,Mobile,14.42,0
TXN_100201,2025-09-02 19:41:13.821309,USR_2725,Savings,Online Transfer,177.4,USD,Debit Card,Desktop,21.61,0
TXN_100202,2025-09-02 23:16:13.821309,USR_8157,Credit Card,Dining,10.41,USD,Debit Card,Mobile,36.26,0
TXN_100203,2025-09-02 23:24:13.821309,USR_9970,Checking,Groceries,16.88,USD,UPI,ATM,13.79,0
TXN_100204,2025-09-02 23:30:13.821309,USR_9296,Checking,Groceries,133.64,USD,Debit Card,Mobile,40.61,0
TXN_100205,2025-09-02 23:53:13.821309,USR_2010,Savings,Dining,19.7,USD,Debit Card,Mobile,20.01,0
TXN_100206,2025-09-03 00:41:13.821309,USR_1985,Savings,Groceries,62.85,USD,Debit Card,ATM,6.42,0
TXN_100207,2025-09-03 04:10:13.821309,USR_2226,Savings,Utilities,111.94,USD,Credit Card,Desktop,23.21,0
TXN_100208,2025-09-03 04:51:13.821309,USR_7132,Checking,Dining,6.81,USD,Bank Transfer,Desktop,60.65,0
TXN_100209,2025-09-03 04:57:13.821309,USR_9709,Savings,Electronics,17.3,USD,Credit Card,Mobile,6.3,0
TXN_100210,2025-09-03 05:37:13.821309,USR_5281,Checking,Dining,102.02,USD,Debit Card,Mobile,17.34,0
TXN_100211,2025-09-03 07:43:13.821309,USR_3773,Credit Card,Dining,23.59,USD,UPI,Mobile,14.76,0
TXN_100212,2025-09-03 08:16:13.821309,USR_1782,Savings,Groceries,2.94,USD,Debit Card,Mobile,44.97,0
TXN_100213,2025-09-03 09:25:13.821309,USR_9753,Checking,Utilities,15.47,USD,UPI,Mobile,37.74,0
TXN_100214,2025-09-03 11:32:13.821309,USR_6605,Checking,Healthcare,64.97,USD,UPI,ATM,15.03,0
TXN_100215,2025-09-03 15:09:13.821309,USR_8103,Credit Card,Electronics,110.4,USD,Credit Card,Mobile,28.97,0
TXN_100216,2025-09-03 15:31:13.821309,USR_5686,Credit Card,Groceries,28.67,USD,Debit Card,Mobile,21.31,0
TXN_100217,2025-09-03 16:13:13.821309,USR_6646,Savings,Entertainment,46.16,USD,Debit Card,Mobile,19.63,0
TXN_100218,2025-09-03 17:27:13.821309,USR_8511,Savings,Groceries,18.07,USD,Debit Card,Desktop,28.18,0
TXN_100219,2025-09-03 17:42:13.821309,USR_6327,Checking,Groceries,73.22,USD,Debit Card,Mobile,21.13,0
TXN_100220,2025-09-03 17:47:13.821309,USR_1782,Checking,Travel,130.02,USD,Debit Card,Mobile,51.26,0
TXN_100221,2025-09-03 18:17:13.821309,USR_8816,Savings,Groceries,63.12,USD,Credit Card,POS Terminal,16.68,0
